OrgNr;FirmaNavn
Karlsens Billakkering AS;937967438
PowerOffice Software AS;998900077
PowerOffice AS;980386465
A.Markussen AS;835000702
Bodø Gårdeierforening;912444465
Tsi Holding AS - Gammel;989158910
Byggsikkerhet AS;985818088
SØRESTRANDA EIENDOM AS;811987972
K Hansen Optik AS;991758984
Hi-Fi Klubben- Audiovisuell Distribusjon Bodø AS;884586372
Fotograf Mats Jensaas AS;813452642
Caranord AS;965583262
Nordlysbuen Apartments AS;997104315
Nordlysbuen Pensjonat AS;992509503
Muna AS;914861594
Of Course AS;913267494
Acustus Holding AS;988690341
Acustus Haller AS;985611475
Acustus Maskinering og Hydraulikk AS;981205219
Acustus Sveis AS;964854173
SKOHJØRNET AS;914007666
Bovel Eiendom AS;981682599
Økoråd Narvik AS;950485922
Trusted Advisors AS;913013670
Kongensgate 14 - 18 AS;989452428
Aktiv Sanering AS;991559035
Demoklient Økonor;123456780
Ne Utleie AS;995108577
Kjøkken og Design AS;912040127
Økoråd Evenskjer AS;950533676
Regnskapskontoret Biz AS;886520972
MODE Studio AS;914246970
Steen & Jensen AS;957618316
ECIT Veiby Akonto AS;989111647
VEIBY INVEST AS;989241079
Element Arkitekter AS;981319656
Edgeing Holding AS;935085438
D Mathisen Entreprenør AS;985554595
Merkur Regnskap SA;985836949
Næring i Nord AS;913304225
Narvik TV Rørinspeksjon AS;967733938
Skien Regnskapskontor AS;944886923
Barnehagen Victoriahavn AS;994185152
Handelskompaniet Salg & Service AS;999274242
KURPPA HOSK AS;974281163
Bodø Røde Kors;938768188
Nordmaling og Belegg AS;971229314
Miljø Rent Nord AS;998088054
Holmen Bilservice AS;997071387
Veiendom AS;914269040
Solan Transport AS;914943809
Urmakermester Nils K Westrheim;940692490
Global Consult AS;998071704
AK-Regnskap AS;988731072
NARVIK EIENDOM AS;994791435
Moloveien 12 AS;912585301
Lindahl AS;914213924
Din Rørlegger Narvik AS;923888985
TORVET AS;814324982
Malmen Pub AS;958276648
Frydenlund Utleie AS;914443873
Ole Sørskår AS;988450073
Åfjord Regnskap AS;975855635
Fosen-Hytta AS;987368675
Leksvik Industrimekanikk AS;997125835
Økonomihuset Fauske AS;871231362
Narvik Blikk Chr Føre A/S;911900785
Victoria Helse AS;998635047
Markussens Begravelsesbyrå AS;932325101
Skistua Bolig AS;998635063
Schjønhaug AS;914469678
SpareBank 1 Regnskapshuset Nord-Norge AS avd Fauske;851987142
SR-Rekneskap AS;938367078
Reidun Gulbrandsen Regnskapskontor AS;912167429
Ljungmann AS;986388346
Helle Nygaard Regnskapskontor AS;922809917
Lunde Bygg AS;914087457
Corponor AS;969026155
US PROPERTY AS;992356960
J.K Utleie AS;989559869
Nordisk Varme AS;912040925
Sulitjelma Fjellandsby AS;994744127
Front Dame og Herrefrisør AS;999342213
Narvik Bedriftshelsetjeneste SA;967253049
Lydteamet AS;987877480
Astafjord Slakteri AS;981137299
Fjelldal Kantine AS;948135264
Grom Eiendom AS;999336965
Førstehjelpspartner AS;997095987
Norsk IT Drift AS;980766535
EVER AS;979491611
Dags Maskin AS;950429992
Revicom AS;931282506
Astafjord Smolt A/S;958916116
Sandhei Holding AS;977520053
Imtas Prosjekt AS;987309113
