OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
937967438;KARLSENS BILLAKKERING AS;Aktiv;10;AS;45.200
998900077;POWEROFFICE SOFTWARE AS;Slettet;;AS;
980386465;POWEROFFICE AS;Aktiv;92;AS;58.290
835000702;A MARKUSSEN AS;Aktiv;43;AS;81.300
912444465;BODØ GÅRDEIERFORENING;Aktiv;;FLI;94.110
989158910;TSI HOLDING AS;Aktiv;;AS;68.100
985818088;BYGGSIKKERHET AS;Aktiv;;AS;71.129
811987972;SØRESTRANDA EIENDOM AS;Aktiv;;AS;68.100
991758984;K. HANSEN OPTIK AS;Aktiv;13;AS;47.782
884586372;AUDIOVISUELL DISTRIBUSJON BODØ AS;Aktiv;;AS;47.430
813452642;FOTOGRAF MATS JENSAAS AS;Aktiv;5;AS;74.200
965583262;CARANORD AS;Aktiv;6;AS;45.192
997104315;NORDLYSBUEN APARTMENTS AS;Aktiv;;AS;68.209
992509503;NORDLYSBUEN PENSJONAT AS;Aktiv;;AS;55.101
914861594;MUNA AS;Konkurs;;AS;69.201
913267494;OF COURSE AS;Aktiv;;AS;70.220
988690341;ACUSTUS HOLDING AS;Aktiv;;AS;70.220
985611475;ACUSTUS HALLER AS;Aktiv;;AS;46.900
981205219;ACUSTUS MASKINERING OG HYDRAULIKK AS;Aktiv;6;AS;28.290
964854173;ACUSTUS SVEIS AS;Aktiv;25;AS;25.620
914007666;SKOHJØRNET AS;Aktiv;6;AS;47.721
981682599;BOVEL EIENDOM AS;Slettet;;AS;
950485922;ØKORÅD NARVIK AS;Aktiv;16;AS;69.201
913013670;TRUSTED ADVISORS AS;Aktiv;;AS;70.220
989452428;KONGENSGATE 14 - 18 AS;Aktiv;;AS;70.220
991559035;AKTIV SANERING AS;Aktiv;;AS;81.101
995108577;NE UTLEIE AS;Aktiv;;AS;55.201
912040127;KJØKKEN OG DESIGN AS;Aktiv;;AS;47.599
950533676;ØKORÅD EVENSKJER AS;Aktiv;10;AS;69.201
886520972;REGNSKAPSKONTORET BIZ AS;Slettet;;AS;
914246970;MODE STUDIO AS;Aktiv;11;AS;96.020
957618316;STEEN & JENSEN AS;Aktiv;14;AS;69.201
989111647;ECIT VEIBY AKONTO AS;Aktiv;45;AS;69.201
989241079;VEIBY INVEST AS;Aktiv;;AS;68.209
981319656;ELEMENT ARKITEKTER AS;Aktiv;15;AS;71.112
935085438;EDGEING HOLDING AS;Aktiv;;AS;00.000
985554595;D MATHISEN ENTREPRENØR AS;Aktiv;;AS;41.200
985836949;MERKUR REGNSKAP SA;Aktiv;24;SA;69.201
913304225;NÆRING I NORD AS;Aktiv;13;AS;73.110
967733938;NARVIK TV RØRINSPEKSJON AS;Aktiv;;AS;43.221
944886923;SKIEN REGNSKAPSKONTOR AS;Aktiv;7;AS;69.201
994185152;BARNEHAGEN VICTORIAHAVN AS;Aktiv;24;AS;88.911
999274242;HANDELSKOMPANIET SALG & SERVICE AS;Aktiv;;AS;32.990
974281163;KURPPA HOSK AS;Aktiv;23;AS;73.110
938768188;BODØ RØDE KORS;Aktiv;;FLI;88.995
971229314;NORDMALING OG BELEGG AS;Aktiv;10;AS;43.341
998088054;MILJØ RENT NORD AS;Aktiv;52;AS;81.210
997071387;HOLMEN BILSERVICE AS;Aktiv;6;AS;45.200
914269040;VEIENDOM AS;Aktiv;;AS;68.209
914943809;SOLAN TRANSPORT AS;Slettet;;AS;
940692490;URMAKERMESTER NILS K WESTRHEIM;Aktiv;;ENK;93.291
998071704;GLOBAL CONSULT AS;Aktiv;;AS;70.220
988731072;AK-REGNSKAP AS;Aktiv;6;AS;69.201
994791435;NARVIK EIENDOM AS;Aktiv;;AS;68.209
912585301;MOLOVEIEN 12 AS;Aktiv;;AS;68.320
914213924;LINDAHL AS;Aktiv;6;AS;47.523
923888985;DIN RØRLEGGER NARVIK AS;Aktiv;13;AS;43.221
814324982;TORVET AS;Aktiv;;AS;68.209
958276648;MALMEN PUB AS;Aktiv;17;AS;56.301
914443873;FRYDENLUND UTLEIE AS;Aktiv;;AS;68.209
988450073;OLE SØRSKÅR AS;Aktiv;;AS;70.220
975855635;ÅFJORD REGNSKAP AS;Aktiv;29;AS;69.201
987368675;FOSEN-HYTTA AS;Slettet;;AS;
997125835;LEKSVIK INDUSTRIMEKANIKK AS;Aktiv;15;AS;33.120
871231362;ØKONOMIHUSET FAUSKE AS;Aktiv;9;AS;69.201
911900785;NARVIK BLIKK CHR FØRE AS;Aktiv;11;AS;43.911
998635047;VICTORIA HELSE AS;Aktiv;;AS;68.209
932325101;MARKUSSENS BEGRAVELSESBYRÅ AS;Aktiv;11;AS;96.030
998635063;SKISTUA BOLIG AS;Aktiv;;AS;41.109
914469678;SCHJØNHAUG AS;Aktiv;;AS;74.101
851987142;SPAREBANK 1 REGNSKAPSHUSET NORD-NORGE AS;Aktiv;305;AS;69.201
938367078;SR-REKNESKAP AS SYKKYLVEN;Slettet;;AS;
912167429;REIDUN GULBRANDSEN REGNSKAPSKONTOR AS;Aktiv;;AS;69.201
986388346;LJUNGMANN AS;Aktiv;7;AS;25.620
922809917;HELLE NYGAARD REGNSKAPSKONTOR AS;Aktiv;;AS;69.201
914087457;LUNDE BYGG AS;Aktiv;9;AS;41.200
969026155;CORPONOR AS;Aktiv;;AS;82.990
992356960;US PROPERTY AS;Aktiv;;AS;68.100
989559869;J.K. UTLEIE AS;Aktiv;;AS;68.209
912040925;NORDISK VARME AS;Aktiv;5;AS;43.222
994744127;SULITJELMA FJELLANDSBY AS;Aktiv;20;AS;93.292
